주차,시작,끝,영수증 리뷰,블로그,블로그 광고 표기,블로그 리뷰 이벤트,본문 있는 영수증,불편 문장 포함 리뷰,언급: 빵 식감,언급: 재료,언급: 맛,언급: 양,언급: 가격,언급: 커피,언급: 응대,언급: 대기,언급: 포장,언급: 매장 이용,비고
9월 4주차,2026-09-21,2026-09-27,13,15,0,5,13,1,2,7,11,4,2,1,2,0,3,10,집계 중이거나 수집 시작 전 날짜 포함
9월 3주차,2026-09-14,2026-09-20,17,15,0,5,17,0,4,8,13,2,0,3,1,0,5,10,
9월 2주차,2026-09-07,2026-09-13,25,23,3,8,25,0,7,10,22,3,3,6,7,1,2,19,
9월 1주차,2026-08-31,2026-09-06,15,22,0,8,15,0,3,7,9,5,4,1,5,0,2,9,
8월 4주차,2026-08-24,2026-08-30,20,20,1,11,18,0,6,8,14,4,0,1,2,0,0,9,집계 중이거나 수집 시작 전 날짜 포함
